utilization.gpu [%], memory.used [MiB]
83 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
83 %, 12930 MiB
83 %, 12930 MiB
83 %, 12930 MiB
84 %, 12930 MiB
85 %, 12930 MiB
86 %, 12930 MiB
88 %, 12930 MiB
87 %, 12930 MiB
81 %, 12930 MiB
81 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
83 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
85 %, 12930 MiB
85 %, 12930 MiB
85 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
81 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
81 %, 12930 MiB
84 %, 12930 MiB
84 %, 12930 MiB
86 %, 12930 MiB
86 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
84 %, 12930 MiB
84 %, 12930 MiB
86 %, 12930 MiB
84 %, 12930 MiB
71 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
83 %, 12930 MiB
83 %, 12930 MiB
84 %, 12930 MiB
84 %, 12930 MiB
86 %, 12930 MiB
88 %, 12930 MiB
88 %, 12930 MiB
85 %, 12930 MiB
81 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
85 %, 12930 MiB
86 %, 12930 MiB
86 %, 12930 MiB
86 %, 12930 MiB
84 %, 12930 MiB
100 %, 13180 MiB
83 %, 13180 MiB
85 %, 13180 MiB
85 %, 13180 MiB
85 %, 13180 MiB
85 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
89 %, 13180 MiB
72 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
83 %, 13180 MiB
85 %, 13180 MiB
85 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
89 %, 13180 MiB
84 %, 13180 MiB
85 %, 13180 MiB
84 %, 13180 MiB
85 %, 13180 MiB
85 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
88 %, 13180 MiB
88 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
85 %, 13180 MiB
84 %, 13180 MiB
87 %, 13180 MiB
88 %, 13180 MiB
86 %, 13180 MiB
89 %, 13180 MiB
81 %, 13180 MiB
84 %, 13180 MiB
85 %, 13180 MiB
83 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
87 %, 13180 MiB
86 %, 13180 MiB
88 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
86 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
83 %, 13180 MiB
84 %, 13180 MiB
85 %, 13180 MiB
84 %, 13180 MiB
88 %, 13180 MiB
88 %, 13180 MiB
88 %, 13180 MiB
88 %, 13180 MiB
89 %, 13180 MiB
87 %, 13180 MiB
84 %, 13180 MiB
85 %, 13180 MiB
83 %, 13180 MiB
83 %, 13180 MiB
84 %, 13180 MiB
85 %, 13180 MiB
87 %, 13180 MiB
86 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
84 %, 13180 MiB
84 %, 13180 MiB
83 %, 13180 MiB
84 %, 13180 MiB
83 %, 13180 MiB
84 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
90 %, 13180 MiB
89 %, 13180 MiB
72 %, 13180 MiB
83 %, 13180 MiB
83 %, 13180 MiB
84 %, 13180 MiB
83 %, 13180 MiB
85 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
87 %, 13180 MiB
90 %, 13180 MiB
83 %, 13180 MiB
83 %, 13180 MiB
84 %, 13180 MiB
83 %, 13180 MiB
83 %, 13180 MiB
85 %, 13180 MiB
87 %, 13180 MiB
88 %, 13180 MiB
88 %, 13180 MiB
88 %, 13180 MiB
88 %, 13180 MiB
72 %, 13180 MiB
2 %, 13634 MiB
0 %, 13634 MiB
0 %, 13634 MiB
0 %, 13634 MiB
0 %, 13634 MiB
0 %, 13634 MiB
0 %, 17804 MiB
57 %, 19740 MiB
63 %, 19808 MiB
63 %, 19808 MiB
65 %, 19808 MiB
64 %, 19808 MiB
64 %, 19808 MiB
64 %, 19808 MiB
64 %, 19808 MiB
64 %, 19808 MiB
